Model,Horizon,MAE,RMSE,SMAPE
LSTM,15 min,3.825348227271446,4.851378048913176,31.830633028447448
LSTM,30 min,3.881011579458353,4.919204789804883,32.339066184563634
LSTM,60 min,3.89930787397163,4.941554955355478,32.32575229355682
LSTM,90 min,3.9013670868565047,4.953047401969475,32.399643364909714
LSTM,120 min,3.9374796798473692,4.998339985369702,32.335090361387486
T-GCN,15 min,4.4286581656998925,5.548192924826175,32.49105928658584
T-GCN,30 min,4.56398835292242,5.7567785622715215,33.24516746537724
T-GCN,60 min,5.175822283934299,6.4962814878222295,34.6067012688755
T-GCN,90 min,5.593420542812354,7.095300856100859,35.897833967497014
T-GCN,120 min,6.210453026854579,7.949080480215309,37.253160056922695
ST-GCN,15 min,4.519445832436219,5.679917041515721,32.85703973991648
ST-GCN,30 min,4.830505185901724,6.056035750918151,33.66892243096149
ST-GCN,60 min,5.733605536076037,7.149167111395003,35.91339379913446
ST-GCN,90 min,6.860690202314769,8.512533540389914,38.65388255823471
ST-GCN,120 min,7.914456388168684,10.015655446874748,41.04219456764187
DCRNN,15 min,4.39822319908814,5.53996582610128,32.63906694374038
DCRNN,30 min,4.6813742146408845,5.864218653733304,33.212097481998946
DCRNN,60 min,5.266562468001536,6.605392312025974,34.88612956879177
DCRNN,90 min,5.995589251064742,7.5407320014961945,36.91740436515418
DCRNN,120 min,6.87075499579018,8.620127141729064,38.95394009965037
GraphWaveNet,15 min,3.861261087981353,4.890328485710902,32.41965765741483
GraphWaveNet,30 min,4.020960397320721,5.100065395476632,33.7682596601218
GraphWaveNet,60 min,3.911304043409838,4.9560229596933825,31.663790977550782
GraphWaveNet,90 min,3.942455376355921,4.993537614063492,32.15463871108595
GraphWaveNet,120 min,4.0960838068128425,5.200518609195652,33.698548828510646
STAEformer,15 min,4.01877787908633,5.12287798744143,32.87491491520089
STAEformer,30 min,3.7876286114659825,4.833909183047379,32.181613381716865
STAEformer,60 min,3.8522301399119305,4.900631481205404,32.33196510673467
STAEformer,90 min,3.820692498187301,4.861694294646912,32.2767864225648
STAEformer,120 min,11.163521230343061,14.517966199420538,48.16770769853727
CDSReFormer,15 min,3.8695996669271335,4.891229469123558,32.383725591315994
CDSReFormer,30 min,3.8906245699666506,4.911623042302492,32.305864563456794
CDSReFormer,60 min,3.9331259779061853,4.977038815278717,32.64306837248084
CDSReFormer,90 min,3.982816105819495,5.0145321448131215,32.09449947811322
CDSReFormer,120 min,4.010922702523326,5.066577345657893,32.85616084001608
